"","GVKEY","fyear","ebit","leverage_ratio","cash_flow"
"4747",10816,2014,328,0.553079619429144,-577
"4748",10816,2015,374,0.459248310810811,224
"4749",10816,2016,418,0.279917291289739,-10
"4750",10832,2008,7.984,0,-0.0809999999999997
"4751",10832,2009,4.164,0,0.0909999999999997
"4752",10832,2010,3.221,0,-0.0729999999999995
"4753",10832,2011,5.75,0,0.422
"4754",10832,2012,2.855,0,-0.306
"4755",10832,2013,1.241,0,0.216
"4756",10832,2014,1.297,0,-0.0670000000000002
"4757",10832,2015,-0.448,0,0.0250000000000004
"4758",10832,2016,-2.114,0,5.238
"4759",10839,2010,25.194,0.355606434539562,-1.65
